idChemicals,Pubchem_CID,CAS,Name,IUPAC_name,Odor_notes,Odor_tags,Odor_sources,OR_sources,Olfactory_Receptors
812,91456.0,471-15-8,beta-Thujone,"(1S,4S,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one",herbal;warm,herbal;warm,TGSC,,
813,10112.0,13701-58-1,Aragonite,calcium;carbonate,odorless;tobacco,odorless;only listed as a tobacco additive,TGSC;FlavorBase10,,
814,61124.0,472-66-2,"2,6,6-Trimethyl-1-cyclohexene-1-acetaldehyde","2-(2,6,6-trimethylcyclohexen-1-yl)acetaldehyde",beefy;camphoraceous;camphoreous;cooling;fruity;oily;raspberry;sweet;tea;tobacco;weedy;woody,beefy;camphoraceous;camphoreous;cooling;fruity;oily;sweet tea-tobacco fruity;useful in raspberry and for enhancing sweetne;weedy;woody,TGSC;FlavorBase10;SigmaAldrich,,
815,12305858.0,473-03-0,ambrein,"(1R,2R,4aS,8aS)-1-[(E)-6-[(1S)-2,2-dimethyl-6-methylidenecyclohexyl]-4-methylhex-3-enyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol",amber,amber,TGSC,,
816,10856614.0,473-13-2,ALPHA-SELINENE,"(3R,4aR,8aR)-5,8a-dimethyl-3-prop-1-en-2-yl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",amber,amber,TGSC,,
817,91457.0,473-15-4,beta-Eudesmol,"2-[(2R,4aR,8aS)-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]propan-2-ol",green;woody,green;woody,TGSC;Flavornet;OdoRactor,,
818,61126.0,5416-53-5,VERBENOL,"4,6,6-trimethylbicyclo[3.1.1]hept-3-en-2-ol",camphoraceous;cooling;fresh;herbaceous;minty;ozone;pine;spicy;sweet,fresh;herbaceous;ozone;pine;slightly cooling;spicy note;sweet minty with slight camphoraceous,TGSC;FlavorBase10;OdorRactor,,
819,1796220.0,475-20-7,(+)-Longifolene,"(1R,2S,7S,9S)-3,3,7-trimethyl-8-methylidenetricyclo[5.4.0.02,9]undecane",camphoraceous;fir;medicinal;rose;sweet;woody,fir needle;medicinal;rose;sweet;weak sweet slightly camphoraceous woody note;woody,TGSC;FlavorBase10,,
820,73174.0,477-43-0,dehydrocostus lactone;Dehydrocostus lactone,"(3aS,6aR,9aR,9bS)-3,6,9-trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one",nutty,nutty,TGSC,,
821,5281610.0,480-15-9,Datiscetin,"3,5,7-trihydroxy-2-(2-hydroxyphenyl)chromen-4-one",earthy;floral;leathery;minty,earthy;floral;leathery;minty,TGSC,,
822,10398656.0,481-34-5,alpha-Cadinol,"(1R,4S,4aR,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol",herbaceous;herbal;woody,herbaceous;herbal;woody,TGSC;Flavornet,,
823,441005.0,483-76-1,(+)-delta-Cadinene,"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene",burnt;dry;herbal;medicinal;spice;thyme;woody,dry;herbal;medicinal;slight burnt;spice character;thyme;woody,TGSC;FlavorBase10;Flavornet;OdoRactor,,
824,6429077.0,72937-55-4,CALAMENENE,"(1S,4S)-1,6-dimethyl-4-propan-2-yl-1,2,3,4-tetrahydronaphthalene",herbal;spicy,herbal;spicy,TGSC,,
825,10228.0,1440642-68-1,Osthole,7-methoxy-8-(3-methylbut-2-enyl)chromen-2-one,dry;herbaceous;herbal;musty,dry;herbaceous;herbal;musty,TGSC,,
826,2355.0,484-20-8,Bergapten,"4-methoxyfuro[3,2-g]chromen-7-one",odorless,odorless,TGSC,,
827,10231.0,8025-95-4,Dillapiole,"4,5-dimethoxy-6-prop-2-enyl-1,3-benzodioxole",spice;spicy;woody,spice;spicy;woody,TGSC;Flavornet,,
828,5280371.0,486-60-2,Bergaptol,"4-hydroxyfuro[3,2-g]chromen-7-one",odorless,odorless,TGSC,,
829,2775.0,487-06-9,citropten,"5,7-dimethoxychromen-2-one",odorless,odorless,TGSC,,
830,10248.0,487-11-6,Elemicin,"1,2,3-trimethoxy-5-prop-2-enylbenzene",floral;spice;spicy;sweet;woody,floral;somewhat woody-floral spicy odor;spice;spicy;sweet,TGSC;FlavorBase10;Flavornet,,
831,1549018.0,488-10-8,cis-Jasmone,3-methyl-2-[(Z)-pent-2-enyl]cyclopent-2-en-1-one,celery;citrus;floral;fruity;herbaceous;herbal;jasmin;spicy;sweet;tea;woody,celery;citrus & floral taste;floral;fruity jasmine notes;herbaceous;herbal;jasmin;spicy;sweet;tea;woody,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;Pubchem;OdoRactor,,
832,11095734.0,72747-25-2,(+)-AROMADENDRENE,"(1aR,4aR,7R,7aR,7bS)-1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene",woody,woody,TGSC;Flavornet,,
833,16213731.0,489-40-7,(-)-alpha-Gurjunene,"(1aR,4R,7bS)-1,1,4,7-tetramethyl-1a,2,3,4,4a,5,6,7b-octahydrocyclopropa[e]azulene",balsamic;woody,balsamic;woody,TGSC,,
834,227829.0,489-86-1,Guaiol,"2-[(3S,5R,8S)-3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl]propan-2-ol",balsamic;floral;guaiac;rose;tea;wood;woody,balsamic;floral;guaiacwood;tea;tearose;woody,TGSC;SigmaAldrich;Flavornet;Pubchem;OdoRactor,,
835,79023.0,490-03-9,Diosphenol,2-hydroxy-3-methyl-6-propan-2-ylcyclohex-2-en-1-one,black;buchu;camphoraceous;currant;herbaceous;leafy;minty,black;buchu;camphoraceous;currant;herbaceous;leafy;minty,TGSC;FlavorBase10;OdorRactor,,
836,10247670.0,52151-92-5,piperitol,"4-[(3S,3aR,6S,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2-methoxyphenol",herbal,herbal,TGSC,,
837,381152.0,491-09-8,Piperitenone,3-methyl-6-propan-2-ylidenecyclohex-2-en-1-one,bitter;herbaceous;minty;phenolic;sharp,bitter;herbaceous odor and taste;minty;phenolic;sharp,TGSC;FlavorBase10;OdorRactor,,
838,10285.0,491-35-0,Lepidine,4-methylquinoline,animal;burnt;floral;green;hebaceous;herbaceous;herbal;musty;oily;quinoline;root;sweet,animal-musty odor;burnt;floral;floral-hebaceous on dilution;green rooty;herbaceous;herbal;oily;quinoline;sweet,TGSC;FlavorBase10;Flavornet;Pubchem;OdoRactor,,
839,79025.0,26655-34-5,alpha-D-glucose,"(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",odorless,odorless,TGSC,,
840,6452133.0,494-08-6,Glucovanillin,"3-methoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzaldehyde",acid;vanilla;vanillin,releases vanillin on heating or in aqueous ac;vanilla,TGSC;FlavorBase10;Flavorbase,,
841,636822.0,494-40-6,alpha-Asarone,"1,2,4-trimethoxy-5-[(E)-prop-1-enyl]benzene",odorless,odorless,TGSC,,
842,329983.0,494-90-6,Menthofuran,"3,6-dimethyl-4,5,6,7-tetrahydro-1-benzofuran",bitter;coffee;earthy;hay;herbaceous;minty;musty;nutty;pungent;sweet,coffee;earthy;hay-like;minty odor;musty;musty-herbaceous;nutty;pungent;somewhat bitter taste;sweet,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,,
843,10315.0,495-40-9,BUTYROPHENONE,1-phenylbutan-1-one,buttery;camphoraceous;camphoreous;cherry;creamy;floral;fruity;hazelnut;nut;nutty;sweet;vanilla;vanlla;walnut,buttery;camphoraceouswalnut;camphoreous;cherry;creamy;hazelnut;nut like;nutty;sweet floral fruity;vanilla;vanlla,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,Or55b4;;Or6a2;OR6A2
844,92776.0,495-60-3,Zingiberene,"(5R)-2-methyl-5-[(2S)-6-methylhept-5-en-2-yl]cyclohexa-1,3-diene",fresh;sharp;spice;spicy,fresh;sharp;spice;spicy,TGSC;Flavornet,,
845,3033866.0,13062-00-5,(Z)-gamma-bisabolene,(4Z)-1-methyl-4-(6-methylhept-5-en-2-ylidene)cyclohexene,balsamic;banana;citrus;floral;fruity;green;myrrh;opoponax;spicy;sweet;terpenic;tropical;woody,balsamic;banana;citrus;floral;fruity;myrrh;opoponax;spicy;sweet;terpenicgreen;tropical;woody,TGSC;FlavorBase10;OdorRactor;Flavorbase,,
846,10322.0,495-76-1,Piperonyl alcohol,"1,3-benzodioxol-5-ylmethanol",heliotrope;powdery;sweet;vanilla,powdery;reminiscent of vanilla & heliotrope;sweet;vanilla,TGSC;FlavorBase10;OdorRactor,,
847,219794.0,496-77-5,5-Hydroxyoctan-4-one,5-hydroxyoctan-4-one,buttery;nut;nutty;pungent;sweet,buttery;buttery-nut like odor and taste;nutty;pungent;sweet,TGSC;FlavorBase10;SuperScent;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR1G1;
848,10335.0,496-78-6,"2,4,5-TRIMETHYLPHENOL","2,4,5-trimethylphenol",chemical;phenolic,chemical;phenolic,TGSC,,
849,5321950.0,1115-11-3,Tiglic aldehyde,(E)-2-methylbut-2-enal,almond;anisic;ethereal;fruit;fruity;green;herbaceous;nutty;pungent,anisic;ethereal;fruit;fruity;fruity-green & almond character in dilution;green;herbaceous;nutty;pungent,TGSC;FlavorBase10;SigmaAldrich;OdoRactor;Flavornet,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,Or51a43;
850,10340.0,7542-12-3,SODIUM CARBONATE,disodium;carbonate,odorless,odorless,TGSC;FlavorBase10,,
851,10341.0,497-23-4,2(5H)-Furanone,2H-furan-5-one,burnt;buttery;sharp;sweet;winey,burnt;buttery;somewhat sharp (see comments);sweet;winey,TGSC;FlavorBase10;OdorRactor,,
852,62348.0,498-00-0,Vanillyl alcohol,4-(hydroxymethyl)-2-methoxyphenol,anisic;balsamic;caramel;caramellic;coconut;cracker;creamy;graham;milky;phenolic;powdery;sweet;tonka;vanilla,anisic;caramel;caramellic;coconut;creamy;creamy-milky balsamic-vanilla like odor and t;grahamcracker;milky;phenolic;powdery;sweet;tonka;vanilla,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,Or5d18;OR5D16
853,2214.0,16522-48-8,Acetovanillone,1-(4-hydroxy-3-methoxyphenyl)ethanone,almond;burnt;coffee;floral;hawthorn;musty;sweet;vanilla;vanillin,almond;burntcoffee;floral;hawthorn;musty;reminiscent of vanillin;sweet;vanilla,TGSC;FlavorBase10;SigmaAldrich;Flavorbase,,
854,443156.0,1352058-87-7,(+)-3-Carene,"(1S,6R)-3,7,7-trimethylbicyclo[4.1.0]hept-3-ene",sweet,sweet,TGSC,,
855,5464156.0,498-16-8,Lavandulol,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol,citrus;herbaceous;herbal;rose;spicy;warm,herbaceous warm rose-like odor;herbal;slightly citrus;spicy,TGSC;FlavorBase10;Flavornet,,
856,643757.0,499-12-7,cis-Aconitic acid,"(Z)-prop-1-ene-1,2,3-tricarboxylic acid",acid;dry;musty;nutty;odorless;toasted;vegetable;winey,dry;musty;nutty;pleasant winey-acid taste;practically odorless;toasted;vegetable,TGSC;FlavorBase10;OdorRactor,,
857,3611.0,499-44-5,hinokitiol,"2-hydroxy-6-propan-2-ylcyclohepta-2,4,6-trien-1-one",moss;phenolic;woody,mossy;phenolic;woody,TGSC;FlavorBase10;OdorRactor,,
858,62349.0,499-54-7,Menthone lactone,4-methyl-7-propan-2-yloxepan-2-one,brown;caramel;caramellic;maple;molasses;sugar;sweet,brown sugar;caramelic;caramellic;maple notes;sugarmolasses;sweet,TGSC;FlavorBase10;OdorRactor;Pubchem,,
859,10362.0,499-70-7,Carvomenthone,2-methyl-5-propan-2-ylcyclohexan-1-one,caraway;cooling;green;herbaceous;herbal;minty;spearmint;woody,cooling;green;herbaceouswoody;herbal;minty;minty odor reminiscent of carvone-spearmint-c;woody,TGSC;FlavorBase10;OdorRactor,,
860,6432475.0,499-71-8,Carvotanacetone,(5S)-2-methyl-5-propan-2-ylcyclohex-2-en-1-one,minty,minty,TGSC,,
861,10363.0,23733-68-8,p-Menth-3-en-2-one,6-methyl-3-propan-2-ylcyclohex-2-en-1-one,minty;spearmint,minty;spearmint,TGSC,,
862,10364.0,499-75-2,CARVACROL,2-methyl-5-propan-2-ylphenol,camphoraceous;camphoreous;cooling;herbaceous;medicinal;origanum;phenolic;smoky;spicy;thyme;woody,camphoraceous;camphoreous;cooling;medicinal;origanum;phenolic;smoky herbaceous odor;spicy;thyme;woody,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;OdoRactor;Pubchem,,
863,92780.0,500-02-7,4-Isopropyl-2-cyclohexenone,4-propan-2-ylcyclohex-2-en-1-one,caraway;cumin;fresh;herbaceous;herbal;ketonic;minty;spicy;woody,caraway;cumin;fresh minty herbaceous woody ketonic odor;herbal;spicy;woody,TGSC;FlavorBase10;SuperScent;OdoRactor,,
864,596375.0,501-19-9,Chavibetol,2-methoxy-5-prop-2-enylphenol,carnation;spicy,carnation;spicy,TGSC,,
865,107.0,501-52-0,hydrocinnamic acid,3-phenylpropanoic acid,balsamic;cinnamon;cinnamyl;fatty;floral;musk;rose;sweet;tonka;vanilla,balsamic odor;cinnamon;fatty;floral;musk;muskcinnamyl;rose;sweet;sweet vanilla-tonka taste,TGSC;FlavorBase10;SigmaAldrich,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR1D2;
866,68148.0,501-92-8,4-Allylphenol,4-prop-2-enylphenol,herbaceous;herbal;medicinal;phenolic;sicy;smoky;tarry,herbaceous;herbal;medicinal;phenolic;tarry-medicinal phenolic sicy smoky odor,TGSC;FlavorBase10;OdoRactor,,
867,10393.0,501-94-0,Tyrosol,4-(2-hydroxyethyl)phenol,floral;fruity;rose;sweet,floral;fruity;sweet;weak sweet floral-rose,TGSC;FlavorBase10,,
868,637542.0,50940-26-6,4-Hydroxycinnamic acid,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,balsamic,balsamic,TGSC;Flavornet,,
869,10396.0,502-26-1,gamma-Stearolactone,5-tetradecyloxolan-2-one,fatty;mouthfeel;wax;waxy,fatty;fatty mouthfeel;wax;waxy,TGSC;FlavorBase10,,
870,10402.0,57030-77-0,Citronellic acid,"3,7-dimethyloct-6-enoic acid",cheese;citronella;citrus;fatty;floral;fruity;grassy;green;melon;smoky;tobacco;vegetable;wax;waxy,cheese;citronella;fatty;fatty-waxy;floral;fruity melon-citrus taste;grassy;green;smoky;tobaccowax;vegetable,TGSC;FlavorBase10;Flavornet;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR1A1;;OR1A2;;Or6e1;
871,5281516.0,502-61-4,alpha-Farnesene,"(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",apple;bergamot;berry;citrus;floral;flower;fruity;green;herbaceous;herbal;juniper;lavender;myrrh;neroli;orange;sweet;vegetable;vegetative;woody,bergamot;citrus;fruity;green;green vegetative;herbaceous;herbal;important to apple;juniper berry;lavender;myrrh;neroli;orangeflower;sweet;vegetablefloral;woody,TGSC;FlavorBase10;SigmaAldrich;Flavornet;Flavorbase;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR1A1;
872,446925.0,502-65-8,LYCOPENE,"(6E,8E,10E,12E,14E,16E,18E,20E,22E,24E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene",balsamic;oriental;red,balsamic;oriental;red colorant & nutriceutical,TGSC;FlavorBase10,,
873,10408.0,502-69-2,502-69-2,"6,10,14-trimethylpentadecan-2-one",celery;fatty;floral;fresh;herbaceous;herbal;jasmin;oily;sweet;woody,celery;fatty;floral sweet;fresh;herbaceous;herbal;jasmin;oily;woody,TGSC;FlavorBase10;Flavornet;Flavorbase;OdoRactor,,
874,10409.0,502-72-7,CYCLOPENTADECANONE,cyclopentadecanone,animal;greasy;musk;natural;powdery,animal;musk;natural;naturalgreasy;powdery,TGSC;OdorRactor,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547;Sato-Akuhara et al|https://doi.org/DOI:10.1523/JNEUROSCI.3259-15.2016,OR5AN1;;Or2t46;OR2T29;Or5an11;OR5AN1;Or5an1b;OR5AN1;Or5an6;
875,3013895.0,502-75-0,11-Hydroxyhexadecanoic acid,11-hydroxyhexadecanoic acid,clean;cumin;floral;fresh;grassy;magnolia,clean;cumin;floral;fresh;grassy;magnolia,TGSC,,
876,5320249.0,6874-10-8,alpha-Ocimene,"(3E)-3,7-dimethylocta-1,3,7-triene",floral;fresh;fruity;herbaceous;launderedcloth,floral;fresh;fruity;herbaceous;launderedcloth,TGSC;Flavornet,,
877,10430.0,92634-50-9,ISOVALERIC ACID,3-methylbutanoic acid,acidic;cheese;cheesy;dairy;disagreeable;fatty;fruity;pungent;rancid;ripe;sour;stinky;sweaty;sweet;tropical,acidic;cheese;cheesy;dairy;disagreeable;fatty;fruity on dilution;pungent;rancid;ripefruity;sour;stinky;sweaty;sweet;tropical,TGSC;FlavorBase10;SigmaAldrich;AOD;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;Mainland et al|https://doi.org/DOI: 10.1038/sdata.2015.2;ODORactor|https://doi.org/10.1093/bioinformatics/btr385;Von der Weid et al|https://doi.org/doi:10.1038/nn.4100,OR117P;;OR11H4;;OR11H6;;OR11H7;;OR1G1;;OR2W1;;OR51E1;;OR52D1;;Or52b1;;Or52i2;OR52I1;Or5an6;;Or5ar1;OR5AR1
878,136330.0,503-93-5,Eucarvone,"2,6,6-trimethylcyclohepta-2,4-dien-1-one",minty,minty,TGSC;SuperScent,,
879,10448.0,505-10-2,Methionol,3-methylsulfanylpropan-1-ol,cooked;earthy;green;meaty;mushroom;onion;potato;savory;soup;sulfurous;sweet;vegetable,cooked;earthy;green;meaty;mushroom;onion;potato;savory;soup-like odor & taste in dilution;sulfurous;sweet;vegetable,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,,
880,136335.0,51330-42-8,"1,2-Dithiane",dithiane,sulfurous,sulfurous,TGSC,,
881,10451.0,505-23-7,"1,3-Dithiane","1,3-dithiane",alliaceous;roasted,alliaceous;roasted,TGSC,,
882,10453.0,505-32-8,ISOPHYTOL,"3,7,11,15-tetramethylhexadec-1-en-3-ol",floral;green;herbal;leaf;odorless;sweet;tea,faint tea leaf sweet odor - primarily a fixat;floral;green;herbal;nearly odorless,TGSC;FlavorBase10,,
883,5281168.0,85761-70-2,trans-2-Hexenal,(E)-hex-2-enal,aldehydic;almond;apple;banana;cheese;cheesy;clean;fatty;fresh;fruity;grassy;green;herbaceous;leafy;plum;pungent;sharp;spicy;sweet;vegetable,aldehydic;almond;apple;apple with leafy and grassy notes;banana;cheese;cheesy;cleanspicy;fatty;fresh;fruity;green;herbaceous;leafy;plum;pungent;sharp;sweet;vegetable,TGSC;FlavorBase10;SigmaAldrich;Flavornet;OdoRactor;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or13a21;;Or2b4;;Or2c1;OR2C1;Or2w1;OR2W1;Or2w4;;Or2y15;OR2Y1
884,62351.0,505-79-3,3-(Methylthio)propyl isothiocyanate,1-isothiocyanato-3-methylsulfanylpropane,earthy;green;horseradish;metallic;pungent;radish;root;sulfurous;vegetable;vegetative,characteristic pungent radish odor;earthy;earthy-vegetative notes;green;horseradish;metallic;rooty;sulfurous;vegetable,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,,
885,5312351.0,505-90-8,505-90-8,(Z)-dec-4-enoic acid,fatty;green;meaty;oily;savory,fatty;green;meaty;oily;savory,TGSC;SuperScent;OdorRactor;Flavorbase,,
886,10484.0,10387-40-3,THIOACETIC ACID,ethanethioic S-acid,alliaceous;burnt;cooked;fresh;fruit;fruity;herb;herbaceous;meaty;roasted;savory;sulfurous;tropical;unpleasant,alliaceous;burnt;cooked;fruit;herb-fruity;herbaceous;meaty;or fresh-tropical-fruity in dilution;roasted;savory;sulfurous-meaty;unpleasant,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;OdoRactor,,
887,64685.0,464-45-9,Borneol,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",balsamic;camphoraceous;camphoreous;coniferous;herbaceous;mint;musty;pepper;peppery;pine;sharp;vanilla;woody,balsamic;balsamicherbaceous;camphoraceous;camphoreous;coniferous;musty;pepper;peppery odor reminiscent of mint;pine;sharp;vanilla;woody,TGSC;FlavorBase10;Flavornet;Flavorbase;Pubchem;SigmaAldrich;OdoRactor,,
888,11323257.0,511-02-4,Sclarene,"(4aS,8S,8aS)-4,4,8a-trimethyl-7-methylidene-8-(3-methylidenepent-4-enyl)-2,3,4a,5,6,8-hexahydro-1H-naphthalene",amber;clary;green;sage;terpenic;woody,amber;clary;green;sage;terpenic;woody,TGSC;OdorRactor,,
889,10889018.0,511-59-1,BETA-SANTALENE,"(1S,2R,4R)-2-methyl-3-methylidene-2-(4-methylpent-3-enyl)bicyclo[2.2.1]heptane",woody,woody,TGSC,,
890,94164.0,512-61-8,Santalene,"1,7-dimethyl-7-(4-methylpent-3-enyl)tricyclo[2.2.1.02,6]heptane",sweet;woody,sweet woody odor;woody,TGSC;FlavorBase10;Flavorbase,,
891,10558.0,513-44-0,Isobutyl mercaptan,2-methylpropane-1-thiol,cooked;egg;garlic;mustard;onion;putrified;rotten;sulfurous;vegetable,cooked;egg);garlic;mustard;putrified (of onion;rotten;vegetable;vegetablesulfurous,TGSC;FlavorBase10;Flavornet;Flavorbase;OdoRactor,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or4e2;OR4E2
892,10560.0,91840-99-2,2-Butanethiol,butane-2-thiol,bee;beefy;leek;obnoxious;onion;poultry;skunk;sulfurous,beef;beefy;leek and onion-like in dilution;onionobnoxious;poultry;skunk;sulfurous,TGSC;FlavorBase10;Flavorbase;Pubchem,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or4e2;OR4E2
893,179.0,52217-02-4,acetoin,3-hydroxybutan-2-one,bland;buttery;caramel;creamy;dairy;fatty;green;milky;sour;sweet;vanilla;woody;yogurt,blandwoody;buttery;caramel;creamy;dairy;fatty;green;milky;sour;sweet;vanilla;yogurt-like odor and flavor,TGSC;FlavorBase10;Flavornet;PubChem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR1G1;;OR52D1;
894,163263.0,86023-49-6,Sclareol,"(1R,2R,4aS,8aS)-1-[(3R)-3-hydroxy-3-methylpent-4-enyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol",amber;balsamic;bitter;odorless;sweet;weedy;woody,amber;balsamic;nearly odorless when pure;slightly bitter taste at 100 ppm;sweet;weedy;woody,TGSC;FlavorBase10,,
895,6918391.0,33880-83-0,BETA-ELEMENE,"(1S,2S,4R)-1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",fresh;herbaceous;resinous;sweet;turpentine;wax;woody,fresh;herbaceous;sweet;wax;woody resinous turpentine-like aroma,TGSC;FlavorBase10;Flavornet,,
896,1549992.0,25428-43-7,Bisabolol,(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol,balsamic;clean;floral;peppery,balsamic;clean;floral;peppery,TGSC,,
897,1182.0,202407-30-5,DL-Valine,2-amino-3-methylbutanoic acid,bread;odorless;sweet,bread-like taste;odorless;sweet,TGSC;FlavorBase10,,
898,122903.0,16807-48-0,DEHYDROACETIC ACID,"3-acetyl-6-methylpyran-2,4-dione",odorless,odorless,TGSC,,
899,3083613.0,520-74-1,Capillene,"hexa-2,4-diynylbenzene",anisic;green;herbal;spicy;sweet,anisic;green;herbal;spicy;sweet,TGSC,,
900,10657.0,523-47-7,BETA-CADINENE,"(1S,4aR,8aS)-4,7-dimethyl-1-propan-2-yl-1,2,4a,5,8,8a-hexahydronaphthalene",green;woody,green;woody,TGSC;SuperScent;Pubchem,,
901,10659.0,523-80-8,Apiole,"4,7-dimethoxy-5-prop-2-enyl-1,3-benzodioxole",herbaceous;herbal;parsley;phenolic;spicy,herbaceous;herbal;slightly phenolic;spicy;strongly reminiscnt of parsley,TGSC;FlavorBase10,,
902,5486616.0,524-06-1,Nepetalic acid,"(1R,2S,5R)-2-methyl-5-[(2R)-1-oxopropan-2-yl]cyclopentane-1-carboxylic acid",odorless,odorless,TGSC,,
903,10687.0,1300-71-6,"2,3-DIMETHYLPHENOL","2,3-dimethylphenol",animal;caryophyllene;chemical;cresolic;leathery;musty;phenolic;spicy,animalic odor;caryophyllene;chemical;cresolic taste at 0.1 ppm;leathery;musty;phenolic;spicy,TGSC;FlavorBase10;OdorRactor,,
904,875.0,868-14-4,"2,3-Dihydroxysuccinic acid","2,3-dihydroxybutanedioic acid",acid;caramel;odorless;tart,caramel;odorless;odorless with a strong tart acid taste,TGSC;FlavorBase10;SigmaAldrich,,
905,10698.0,527-60-6,"2,4,6-TRIMETHYLPHENOL","2,4,6-trimethylphenol",coffee;latakia;leathery;medicinal;phenolic;smoky;spicy;tarry;tobacco,coffee;latakia tobacco;leathery;medicinal;phenolic;smoky;spicy-note;tarry,TGSC;FlavorBase10;Flavornet;OdoRactor,,
906,72300.0,528-43-8,Magnolol,2-(2-hydroxy-5-prop-2-enylphenyl)-4-prop-2-enylphenol,ani;bitter;fungal;neutraceutical,anifungal;bitter;neutraceutical,TGSC;FlavorBase10;ADB,,
907,79036.0,529-01-1,Isopiperitenone,3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-one,fruity;herbal;sweet,fruity;herbal;sweet,TGSC,,
908,10722.0,529-20-4,2-Methylbenzaldehyde,2-methylbenzaldehyde,almond;benzaldehyde;bitter;chemical;cherry;coumarinic;fruity;powdery;sweet,bitter almond;chemicalcoumarinic;cherry;fruity;powdery;sweet benzaldehyde cherry,TGSC;FlavorBase10;SigmaAldrich,,
909,637775.0,7362-37-0,SINAPIC ACID,"(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid",odorless,odorless,TGSC;FlavorBase10,,
910,62362.0,531-26-0,Eugenyl benzoate,(2-methoxy-4-prop-2-enylphenyl) benzoate,balsamic;clove;spicy;warm,balsamic;clove;spicy;warm,TGSC;FlavorBase10;OdorRactor,,
911,10748.0,531-59-9,7-Methoxycoumarin,7-methoxychromen-2-one,balsamic;sweet;tonka,balsamic;sweet;tonka,TGSC;SigmaAldrich;OdoRactor,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR2W1;
912,5355899.0,532-08-1,4-Allyl-2-methoxyphenyl cinnamate,(2-methoxy-4-prop-2-enylphenyl) (E)-3-phenylprop-2-enoate,cinnamon;clove,cinnamon;clove,TGSC,,
913,517055.0,532-32-1,sodium benzoate,sodium;benzoate,burning;odorless,odorless;odorless with a very weak burning taste,TGSC;FlavorBase10,,
914,101750.0,20016-72-2,alpha-Camphorene,"4-(6-methylhepta-1,5-dien-2-yl)-1-(4-methylpent-3-enyl)cyclohexene",solvent;terpenic,solvent;terpenic,TGSC,,
